Sources            Count      %   cum%
127.184.137.103.in-addr.arpa                                    2    4.0   78.0
35.87.239.145.in-addr.arpa                                      2    4.0   82.0
193.190.131.104.in-addr.arpa                                    2    4.0   86.0
79.98.112.193.in-addr.arpa                                      2    4.0   90.0
240.197.223.104.in-addr.arpa                                    1    2.0   92.0
ip-54-38-42.eu.google.internal                                  1    2.0   94.0
ip-54-38-42.eu.c.weighty-triode-250801.internal                 1    2.0   96.0
ip-54-38-42.eu.us-central1-a.c.weighty-triode-250801.in         1    2.0   98.0
63.42.38.54.in-addr.arpa                                        1    2.0  100.0

Query Name                                                  Count      %   cum%
------------------------------------------------------- --------- ------ ------
logging.googleapis.com.google.internal                          8   16.0   16.0
logging.googleapis.com.c.weighty-triode-250801.internal         8   16.0   32.0
logging.googleapis.com                                          8   16.0   48.0
logging.googleapis.com.asia-south1-c.c.weighty-triode-2         4    8.0   56.0
logging.googleapis.com.us-central1-a.c.weighty-triode-2         4    8.0   64.0
ip-54-38-42.eu                                                  3    6.0   70.0
224.77.83.51.in-addr.arpa                                       2    4.0   74.0
127.184.137.103.in-addr.arpa                                    2    4.0   78.0
35.87.239.145.in-addr.arpa                                      2    4.0   82.0
193.190.131.104.in-addr.arpa                                    2    4.0   86.0
79.98.112.193.in-addr.arpa                                      2    4.0   90.0
240.197.223.104.in-addr.arpa                                    1    2.0   92.0
ip-54-38-42.eu.google.internal                                  1    2.0   94.0
ip-54-38-42.eu.c.weighty-triode-250801.internal                 1    2.0   96.0
ip-54-38-42.eu.us-central1-a.c.weighty-triode-250801.in         1    2.0   98.0
63.42.38.54.in-addr.arpa                                        1    2.0  100.0

Source         Query Name       Count      %   cum%
-------------- ------------ --------- ------ ------
35.209.162.135 internal            15   30.0   30.0
34.93.149.202  internal            12   24.0   54.0
35.209.162.135 in-addr.arpa        12   24.0   78.0
34.93.149.202  com                  4    8.0   86.0
35.209.162.135 com                  4    8.0   94.0
35.209.162.135 eu                   2    4.0   98.0
10.148.0.10    eu                   1    2.0  100.0

Source         Query Name                         Count      %   cum%
-------------- ------------------------------ --------- ------ ------
35.209.162.135 weighty-triode-250801.internal        10   20.0   20.0
34.93.149.202  weighty-triode-250801.internal         8   16.0   36.0
35.209.162.135 google.internal                        5   10.0   46.0
34.93.149.202  google.internal                        4    8.0   54.0
34.93.149.202  googleapis.com                         4    8.0   62.0
35.209.162.135 googleapis.com                         4    8.0   70.0
35.209.162.135 104.in-addr.arpa                       3    6.0   76.0
